Master Clock,RT Clock,NON-RT Clock,N_RT,N_NON-RT,SCL,Server Status
0.0,3.0,5.0,0,0,4.0,2
3.0,8.1,5.0,0,1,5.33,1
5.0,8.1,5.49,0,2,10.53,2
8.1,48.83,5.49,0,3,18.86,1
5.49,48.83,5.74,0,4,6.89,2
5.74,48.83,12.43,0,5,8.92,2
8.92,48.83,12.43,0,4,9.92,2
9.92,48.83,12.43,0,3,15.45,2
12.43,48.83,20.04,0,4,17.53,2
17.53,48.83,20.04,0,3,19.96,2
19.96,48.83,20.04,0,2,21.36,2
20.04,48.83,22.16,0,3,24.31,2
22.16,48.83,34.55,0,4,22.28,2
22.28,48.83,34.55,0,3,25.46,2
25.46,48.83,34.55,0,2,30.56,2
30.56,48.83,34.55,0,1,34.83,2
34.55,48.83,35.44,0,2,34.98,2
34.98,48.83,35.44,0,1,35.1,2
35.1,48.83,35.44,0,0,35.53,2
35.44,48.83,36.59,0,1,35.44,0
35.44,48.83,36.59,0,0,37.27,2
36.59,48.83,39.72,0,1,36.59,0
36.59,48.83,39.72,0,0,37.03,2
39.72,48.83,40.0,0,1,39.72,0
39.72,48.83,40.0,0,0,42.2,2
40.0,48.83,40.06,0,1,40.0,0
40.0,48.83,40.06,0,0,44.58,2
40.06,48.83,52.17,0,1,40.06,0
40.06,48.83,52.17,0,0,47.53,2
48.83,50.17,52.17,0,0,57.52,1
50.17,51.48,52.17,0,0,53.33,1
51.48,53.35,52.17,0,0,55.77,1
52.17,53.35,53.25,0,1,52.17,0
52.17,53.35,53.25,0,0,59.23,2
53.25,53.35,59.23,0,1,53.25,0
53.25,53.35,59.23,0,0,54.34,2
53.35,57.03,59.23,0,0,54.81,1
57.03,57.91,59.23,0,0,62.59,1
57.91,58.1,59.23,0,0,62.56,1
58.1,60.44,59.23,0,0,62.38,1
59.23,60.44,63.15,0,1,59.23,0
59.23,60.44,63.15,0,0,61.07,2
60.44,79.18,63.15,0,0,66.48,1
63.15,79.18,66.37,0,1,63.15,0
63.15,79.18,66.37,0,0,67.08,2
66.37,79.18,73.24,0,1,66.37,0
66.37,79.18,73.24,0,0,67.92,2
73.24,79.18,85.62,0,1,73.24,0
73.24,79.18,85.62,0,0,75.05,2
79.18,81.52,85.62,0,0,83.42,1
81.52,88.38,85.62,0,0,83.35,1
85.62,88.38,85.95,0,1,85.62,0
85.62,88.38,85.95,0,0,87.11,2
85.95,88.38,88.77,0,1,85.95,0
85.95,88.38,88.77,0,0,87.26,2
88.38,89.47,88.77,0,0,89.56,1
88.77,89.47,89.82,0,1,88.77,0
88.77,89.47,89.82,0,0,89.32,2
89.47,102.03,89.82,0,0,91.73,1
89.82,102.03,95.01,0,1,89.82,0
89.82,102.03,95.01,0,0,91.35,2
95.01,102.03,98.07,0,1,95.01,0
95.01,102.03,98.07,0,0,95.13,2
98.07,102.03,100.53,0,1,98.07,0
98.07,102.03,100.53,0,0,101.76,2
100.53,102.03,114.38,0,1,100.53,0
100.53,102.03,114.38,0,0,111.95,2
102.03,118.2,114.38,0,0,106.18,1
114.38,118.2,116.3,0,1,114.38,0
114.38,118.2,116.3,0,0,115.93,2
116.3,118.2,145.66,0,1,116.3,0
116.3,118.2,145.66,0,0,116.51,2
118.2,127.37,145.66,0,0,121.75,1
127.37,130.16,145.66,0,0,127.97,1
130.16,133.2,145.66,0,0,131.22,1
133.2,156.34,145.66,0,0,134.9,1
145.66,156.34,151.32,0,1,145.66,0
145.66,156.34,151.32,0,0,149.16,2
151.32,156.34,152.77,0,1,151.32,0
151.32,156.34,152.77,0,0,151.33,2
152.77,156.34,156.11,0,1,152.77,0
152.77,156.34,156.11,0,0,165.86,2
156.11,156.34,157.18,0,1,156.11,0
156.11,156.34,157.18,0,0,158.11,2
156.34,159.4,157.18,0,0,158.88,1
157.18,159.4,159.22,0,1,157.18,0
157.18,159.4,159.22,0,0,160.84,2
159.22,159.4,161.88,0,1,159.22,0
159.22,159.4,161.88,0,0,161.5,2
159.4,166.1,161.88,0,0,163.72,1
161.88,166.1,164.87,0,1,161.88,0
161.88,166.1,164.87,0,0,162.01,2
164.87,166.1,166.73,0,1,164.87,0
164.87,166.1,166.73,0,0,170.53,2
166.1,169.96,166.73,0,0,166.34,1
166.73,169.96,167.34,0,1,166.73,0
166.73,169.96,167.34,0,0,167.42,2
167.34,169.96,169.43,0,1,167.34,0
167.34,169.96,169.43,0,0,171.85,2
169.43,169.96,169.69,0,1,169.43,0
169.43,169.96,169.69,0,0,170.56,2
169.69,169.96,184.0,0,1,169.69,0
169.69,169.96,184.0,0,0,187.38,2
169.96,170.27,184.0,0,0,175.17,1
170.27,177.88,184.0,0,0,171.3,1
177.88,185.64,184.0,0,0,178.68,1
184.0,185.64,187.78,0,1,184.0,0
184.0,185.64,187.78,0,0,199.89,2
185.64,210.96,187.78,0,0,186.5,1
187.78,210.96,191.89,0,1,187.78,0
187.78,210.96,191.89,0,0,192.3,2
191.89,210.96,195.18,0,1,191.89,0
191.89,210.96,195.18,0,0,199.08,2
195.18,210.96,210.41,0,1,195.18,0
195.18,210.96,210.41,0,0,197.37,2
,,,,,,
